手机名称,价格(￥),运行内存,电池容量,机身颜色,前置摄像头像素,后置摄像头像素,url
三星（SAMSUNG） G6100 Galaxy J7 Prime 双4G智能手机32G 黑色,1998.00,32GB,3000mAh-3999mAh,"金色,粉红色,黑色",800万-1599万,1200万-1999万,https://item.jd.com/1970756125.html
三星（SAMSUNG） 现货发货 三星 SAMSUNG Note8 智能4G手机 星夜黑 6GB+256G 港版,6388.00,64GB,3000mAh-3999mAh,"星夜黑,深海蓝,幻灰紫,粉色",800万-1599万,N/A,https://item.jd.com/17933517745.html
三星（SAMSUNG）G1600,1688.00,16GB,1200mAh-1999mAh,N/A,500万-799万,500万-1199万，无,https://item.jd.com/18618419935.html
三星（SAMSUNG） 三星C8（3GB+32GB）全网通手机无限流量手机流量免费使用 套餐一：送大重庆流量无限卡（无承诺期） 枫叶金,1988.00,N/A,N/A,"套餐一：送大重庆流量无限卡（无承诺期）,套餐二：大重庆流量无限卡预存16个月送8个月",N/A,N/A,https://item.jd.com/22676328732.html
三星（SAMSUNG） 三星Galaxy 领世旗舰8 G9298 4GB+64GB黑手机 黑色 移动联通4G(4GB+64GB),18800.00,64GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/21891056688.html
锐族 R2015老人机 电信2G翻盖老人手机 红色,299.00,N/A,N/A,"红色,金色,黑色",N/A,N/A,https://item.jd.com/20902840426.html
SAMSUNG 三星 Galaxy Folder2 （SM-G1650）翻盖手机 碧玺红 全网通(2G+16G),1950.00,N/A,N/A,"碧玺红,帕托金,琉璃黑",N/A,N/A,https://item.jd.com/19930939344.html
三星（SAMSUNG）C7100,1999.00,N/A,N/A,"墨玉黑,枫叶金,蔷薇粉",1600万及以上,N/A,https://item.jd.com/1999773744.html
三星（SAMSUNG） 三星J7 Prime（G6100）4G手机 智能手机 港版 金色,1998.00,32GB,3000mAh-3999mAh,"粉色,金色,黑色",500万-799万,1200万-1999万,https://item.jd.com/1969972839.html
三星（Samsung）S5520老人机 翻盖双屏备用学生女款中老年人按键手机 深蓝色预售,499.00,N/A,1200mAh以下,"橙色预售,深蓝色预售,粉红色 预售,天蓝色预售",N/A,N/A,https://item.jd.com/1995412600.html
三星 Galaxy C9 Pro（C9000）全网通4G手机 双卡双待 黑色,2999.00,64GB,3000mAh-3999mAh,"金色,粉色,黑色",N/A,N/A,https://item.jd.com/1986895892.html
三星（SAMSUNG）w2017,16888.00,64GB,2000mAh-2999mAh,"雅金色 （6GB+64GB）,典藏尊铂（6GB+256GB）",500万-799万,1200万-1999万,https://item.jd.com/23416952481.html
三星（SAMSUNG） G6100 Galaxy J7 Prime 双4G智能手机32G 黑色,1998.00,32GB,3000mAh-3999mAh,"金色,粉红色,黑色",800万-1599万,1200万-1999万,https://item.jd.com/1970756125.html
三星（SAMSUNG） 现货发货 三星 SAMSUNG Note8 智能4G手机 星夜黑 6GB+256G 港版,6388.00,64GB,3000mAh-3999mAh,"星夜黑,深海蓝,幻灰紫,粉色",800万-1599万,N/A,https://item.jd.com/17933517745.html
三星（SAMSUNG）G1600,1688.00,16GB,1200mAh-1999mAh,N/A,500万-799万,500万-1199万，无,https://item.jd.com/18618419935.html
三星（SAMSUNG）Galaxy C5,1578.00,32GB,2000mAh-2999mAh,"枫叶金,烟雨灰,皎洁银,蔷薇粉",800万-1599万,1200万-1999万,https://item.jd.com/11633064426.html
SAMSUNGS8+（SM-G9550）,5499.00,N/A,N/A,"谜夜黑,烟晶灰,雾屿蓝,绮梦金,芭比粉",800万-1599万,1200万-1999万,https://item.jd.com/23331706309.html
三星（SAMSUNG） 三星 Galaxy C5（SM-C5000）手机 4G大内存 烟雨灰 全网通64G,2288.00,N/A,N/A,"蔷薇粉,皎洁银,金色,烟雨灰",N/A,N/A,https://item.jd.com/17616197573.html
三星（SAMSUNG）Galaxy S7 edge,3345.00,32GB,3000mAh-3999mAh,"铂光金,莹钻粉,星钻黑",500万-799万,1200万-1999万,https://item.jd.com/13367886301.html
三星（SAMSUNG） Samsung/三星 SM-W2017 商务4G男款翻盖智能手机 尊贵金,9999.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/25382581967.html
三星（SAMSUNG） W2018 翻盖智能商务手机 至尊雅金 全网通(6G+64G) 至尊雅金 6+64GB,21988.00,64GB,2000mAh-2999mAh,"至尊雅金,典藏尊铂",500万-799万,1200万-1999万,https://item.jd.com/24363473735.html
三星（SAMSUNG） 三星 W2018 翻盖智能商务手机 通4G 雅金色 （6GB+64GB）,16129.00,64GB,2000mAh-2999mAh,"雅金色 （6GB+64GB）,典藏尊铂（6GB+256GB）",500万-799万,1200万-1999万,https://item.jd.com/25980057630.html
三星（SAMSUNG）Galaxy C5 Pro,2299.00,64GB,2000mAh-2999mAh,"枫叶金,碧湖蓝,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/14465697796.html
三星（SAMSUNG）Galaxy S9,9999.00,N/A,N/A,"莱茵蓝,夕雾紫,谜夜黑",N/A,N/A,https://item.jd.com/25673778306.html
三星（SAMSUNG）Galaxy S8,5999.00,支持内存卡,3000mAh-3999mAh,"星夜黑,幻紫灰,珊瑚蓝,枫叶金,芭比粉",800万-1599万,1200万-1999万,https://item.jd.com/1995347726.html
三星（SAMSUNG） 三星 GALAXYJ 3Pro手机 电信4G (J3119) 流沙金 2G+16G,899.00,16GB,2000mAh-2999mAh,金色系,500万-799万,N/A,https://item.jd.com/23805119330.html
三星（SAMSUNG）Galaxy C5,1539.00,支持内存卡,2000mAh-2999mAh,"皎洁银,蔷薇粉,枫叶金,烟雨灰",800万-1599万,1200万-1999万,https://item.jd.com/10518130532.html
三星（SAMSUNG） Galaxy J3 Pro（J3119s）手机 流沙金 电信全网通 2GB+16GB,838.00,2GB,2000mAh-2999mAh,N/A,500万-799万,500万-1199万,https://item.jd.com/18119715393.html
三星（SAMSUNG）s9 s9+,11000.00,128GB,3000mAh-3999mAh,"夕雾紫,莱茵蓝,谜夜黑",800万-1599万,1200万-1999万,https://item.jd.com/25693569640.html
三星 GALAXY C8 手机 5.5英寸大屏 新款C7100智能手机4G+可选金属机身 墨玉黑 C7100（3+32G）全网通4G,1999.00,N/A,N/A,"墨玉黑,枫叶金,蔷薇粉",1600万及以上,N/A,https://item.jd.com/1999749383.html
三星（SAMSUNG） 三星 2016版 Galaxy On5(G5510) 全网通手机 嫣霞粉 全网通青春版(2G RAM+16G ROM),1088.00,16GB,2000mAh-2999mAh,"嫣霞粉,流沙金",N/A,N/A,https://item.jd.com/1989750097.html
三星（Samsung）Galaxy J7 无锁手机 16GB/32GB 5.5英寸屏幕 16G,2199.00,32GB,3000mAh-3999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/1993745623.html
全球购 三星(SAMSUNG)  W2016 双卡双待4G手机 电信4G 尊崇银 3GB+64GB 标配,10299.00,64GB,2000mAh-2999mAh,"尊贵金,尊崇银",500万-799万,1200万-1999万,https://item.jd.com/1983006503.html
三星（SAMSUNG） 三星 Galaxy C9 Pro (C9000) 4G手机 墨玉黑 全网通(6GB+64GB),2598.00,64GB,4000mAh-5999mAh,"枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/16136083713.html
三星（SAMSUNG） 三星 Galaxy Note8 (N9500) 4G手机 港版 深海蓝 港版型号N9500(256GB),7078.00,支持内存卡,3000mAh-3999mAh,"星夜黑,深海蓝,幻月灰",800万-1599万,1200万-1999万,https://item.jd.com/1998281394.html
三星（SAMSUNG） 三星(SAMSUNG) W2016双卡双待 4G手机 尊贵金 金色,7888.00,64GB,2000mAh-2999mAh,N/A,无,N/A,https://item.jd.com/12575204376.html
三星（SAMSUNG） 三星 Galaxy C9 pro（C9000）手机 枫叶金 （6G+64G）全网通,2388.00,64GB,4000mAh-5999mAh,"枫叶金,蔷薇粉,黑色",N/A,N/A,https://item.jd.com/11111569043.html
三星（Samsung）Express 3 无锁智能手机 移动3G 联通4G LTE ,1088.00,8GB,3000mAh-3999mAh,N/A,500万-799万,500万以下,https://item.jd.com/1988810196.html
三星（SAMSUNG） 全球购三星 GALAXY S8+ 移动联通双曲屏 防水手机 现货 星夜黑 4G+64G 移动联通双4G 亚太版,5988.00,128GB,3000mAh-3999mAh,"星夜黑,枫叶金,幻紫灰,珊瑚蓝",800万-1599万,N/A,https://item.jd.com/1988851047.html
三星（SAMSUNG） 三星() J3 Pro (J3119s) 4G手机 金色 电信全网通（2GB+16GB）,792.00,16GB,2000mAh-2999mAh,N/A,500万-799万,500万-1199万,https://item.jd.com/16144167379.html
三星（SAMSUNG） C8 (C7100) 移动联通4G智能手机 港版 黑色 64GB,2798.00,64GB,3000mAh-3999mAh,"粉红色,金色,黑色",1600万及以上,1200万-1999万,https://item.jd.com/17688597196.html
三星（SAMSUNG）Galaxy S7,2498.00,32GB,3000mAh-3999mAh,"星钻黑,雪晶白,铂光金",500万-799万,1200万-1999万,https://item.jd.com/14938476998.html
三星（SAMSUNG）S7,2559.00,32GB,3000mAh-3999mAh,金色系,500万-799万,1200万-1999万,https://item.jd.com/24498721248.html
三星（SAMSUNG）S9,6099.00,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/26006551174.html
三星（SAMSUNG）S9+,6999.00,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/26007241586.html
三星（SAMSUNG） 三星Note8（6GB+64GB）全网通无限流量手机流量免费使用 套餐一：送大重庆流量无限卡（无承诺期） 谜夜黑,6988.00,N/A,N/A,"套餐一：送大重庆流量无限卡（无承诺期）,套餐二：大重庆流量无限卡预存16个月送8个月",N/A,N/A,https://item.jd.com/25217674268.html
三星（SAMSUNG） Galaxy S7 (G9300) 4G智能手机 全网通 铂光金 4G+32G,2599.00,32GB,3000mAh-3999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/25437836872.html
三星（SAMSUNG）【白条6期免息】S8 Galaxy 移动4G+智版手机 谜夜黑 4G+64G,4999.00,64GB,3000mAh-3999mAh,"烟晶灰,谜夜黑",800万-1599万,1200万-1999万,https://item.jd.com/12400178028.html
三星（SAMSUNG） SAMSUNG三星 Galaxy J7 Pro 手机 32GB 金色,1988.00,32GB,3000mAh-3999mAh,"金色,黑色",800万-1599万,1200万-1999万,https://item.jd.com/21490807703.html
三星（SAMSUNG） 三星 大器III尊贵版SM-G9092联通3G手机 双卡双待双通,3999.00,32GB,1200mAh以下,N/A,200万-499万,N/A,https://item.jd.com/1993536994.html
三星 Galaxy C9 Pro（C9000）6GB+64GB全网通 4G手机 墨玉黑,2958.00,64GB,4000mAh-5999mAh,"枫叶金,墨玉黑,蔷薇粉",N/A,N/A,https://item.jd.com/1978645708.html
三星（SAMSUNG） Galaxy 领世旗舰8（G9298）4G手机 黑色 移动联通双4G(4GB+64GB),10888.00,4GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/18132052713.html
三星（SAMSUNG） 全球购三星Galaxy C7ProC7010 4G手机 双卡双待 枫叶金 4G+64G,2899.00,64GB,3000mAh-3999mAh,"蔷薇粉,枫叶金,沧海蓝",1600万及以上,N/A,https://item.jd.com/1984613321.html
三星（SAMSUNG） Galaxy A9 (SM-A9100),2149.00,N/A,2000mAh-2999mAh,"雪域白,精灵黑,魔幻金",800万-1599万,1200万-1999万,https://item.jd.com/10522116174.html
三星 2016版 Galaxy On7(G6100) 手机 流沙金 全网通标配,1468.00,32GB,3000mAh-3999mAh,"流沙金,金色(前金后金),嫣霞粉,钛岩黑",N/A,N/A,https://item.jd.com/10722624184.html
三星（SAMSUNG） SAMSUNG 三星 G5700  5英寸 4G智能手机 黑色 3GB+32GB,1299.00,32GB,2000mAh-2999mAh,"金色,粉色,黑色",800万-1599万,1200万-1999万,https://item.jd.com/23946496005.html
三星（SAMSUNG） 旗舰产品 W2017 翻盖4G手机 双卡双待 电信版 黑色 W2017+,10988.00,N/A,N/A,"金色 W2017,黑色 W2017+",N/A,N/A,https://item.jd.com/22625149271.html
三星（SAMSUNG）Galaxy C7 pro,2799.00,64GB,3000mAh-3999mAh,"枫叶金,蔷薇粉,沧海蓝",1600万及以上,N/A,https://item.jd.com/1978932004.html
三星（SAMSUNG） 三星 Galaxy C5 (SM-C5000)手机 烟雨灰 全网通4G (4G RAM+32G ROM) 标配,1568.00,4GB,2000mAh-2999mAh,"皎洁银,烟雨灰,枫叶金,蔷薇粉",800万-1599万,1200万-1999万,https://item.jd.com/23929340767.html
三星（SAMSUNG） Galaxy S5 无锁版手机电力持久SM-G900A 白色,1999.00,16GB,2000mAh-2999mAh,"白色,黑色",200万-499万,1200万-1999万,https://item.jd.com/1987045399.html
三星（SAMSUNG） Galaxy On7（G6100）手机 钛岩黑 全网通 3GB+32GB,1438.00,3GB,3000mAh-3999mAh,"流沙金,嫣霞粉,钛岩黑",800万-1599万,1200万-1999万,https://item.jd.com/18081571913.html
Samsung 三星 GALAXY S8 S8+ 移动联通曲屏智能手机 现货 三星 立式快速无线充电器 黑色,299.00,64GB,3000mAh-3999mAh,"港版双卡 S8+幻紫色4G+64GB,港版双卡 S8+星夜黑4G+64GB,港版双卡 S8+珊瑚蓝4G+64GB,港版双卡 S8 幻紫色4G+64GB,港版双卡 S8 枫木金4G+64GB,港版双卡 S8+ 星夜黑4G+128GB,港版双卡 S8+ 幻紫色 4G+128GB,港版双卡 S8+ 珊瑚蓝 4G+128GB,三星 立式快速无线充电器 黑色,三星 立式快速无线充电器 白色",800万-1599万,1200万-1999万,https://item.jd.com/1986742015.html
三星（SAMSUNG）W2014,4999.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/21053302097.html
三星（SAMSUNG） Galaxy 领世旗舰8（G9298）4G手机 黑色 移动联通双4G(4GB+64GB),10888.00,4GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/18132052713.html
三星（SAMSUNG） 全球购三星Galaxy C7ProC7010 4G手机 双卡双待 枫叶金 4G+64G,2899.00,64GB,3000mAh-3999mAh,"蔷薇粉,枫叶金,沧海蓝",1600万及以上,N/A,https://item.jd.com/1984613321.html
三星（SAMSUNG） Galaxy A9 (SM-A9100),2149.00,N/A,2000mAh-2999mAh,"雪域白,精灵黑,魔幻金",800万-1599万,1200万-1999万,https://item.jd.com/10522116174.html
三星 2016版 Galaxy On7(G6100) 手机 流沙金 全网通标配,1468.00,32GB,3000mAh-3999mAh,"流沙金,金色(前金后金),嫣霞粉,钛岩黑",N/A,N/A,https://item.jd.com/10722624184.html
三星（SAMSUNG） SAMSUNG 三星 G5700  5英寸 4G智能手机 黑色 3GB+32GB,1299.00,32GB,2000mAh-2999mAh,"金色,粉色,黑色",800万-1599万,1200万-1999万,https://item.jd.com/23946496005.html
三星（SAMSUNG） 旗舰产品 W2017 翻盖4G手机 双卡双待 电信版 黑色 W2017+,10988.00,N/A,N/A,"金色 W2017,黑色 W2017+",N/A,N/A,https://item.jd.com/22625149271.html
三星（SAMSUNG）Galaxy C7 pro,2799.00,64GB,3000mAh-3999mAh,"枫叶金,蔷薇粉,沧海蓝",1600万及以上,N/A,https://item.jd.com/1978932004.html
三星（SAMSUNG） 三星 Galaxy C5 (SM-C5000)手机 烟雨灰 全网通4G (4G RAM+32G ROM) 标配,1568.00,4GB,2000mAh-2999mAh,"皎洁银,烟雨灰,枫叶金,蔷薇粉",800万-1599万,1200万-1999万,https://item.jd.com/23929340767.html
三星（SAMSUNG） Galaxy S5 无锁版手机电力持久SM-G900A 白色,1999.00,16GB,2000mAh-2999mAh,"白色,黑色",200万-499万,1200万-1999万,https://item.jd.com/1987045399.html
三星（SAMSUNG） Galaxy On7（G6100）手机 钛岩黑 全网通 3GB+32GB,1438.00,3GB,3000mAh-3999mAh,"流沙金,嫣霞粉,钛岩黑",800万-1599万,1200万-1999万,https://item.jd.com/18081571913.html
Samsung 三星 GALAXY S8 S8+ 移动联通曲屏智能手机 现货 三星 立式快速无线充电器 黑色,299.00,64GB,3000mAh-3999mAh,"港版双卡 S8+幻紫色4G+64GB,港版双卡 S8+星夜黑4G+64GB,港版双卡 S8+珊瑚蓝4G+64GB,港版双卡 S8 幻紫色4G+64GB,港版双卡 S8 枫木金4G+64GB,港版双卡 S8+ 星夜黑4G+128GB,港版双卡 S8+ 幻紫色 4G+128GB,港版双卡 S8+ 珊瑚蓝 4G+128GB,三星 立式快速无线充电器 黑色,三星 立式快速无线充电器 白色",800万-1599万,1200万-1999万,https://item.jd.com/1986742015.html
三星（SAMSUNG）W2014,4999.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/21053302097.html
三星（Samsung）SM-W2016 电信4G 翻盖商务智能手机 尊贵银 3GB+64GB电信版 标配,11888.00,64GB,2000mAh-2999mAh,"尊贵金,尊贵银",500万-799万,1200万-1999万,https://item.jd.com/1976033406.html
三星（SAMSUNG） GALAXY S8 Plus 6.2寸 双曲屏 S8+ 双卡手机 星夜黑 港版6GB+128G移动联通电信全网通顶配皇帝版,5699.00,64GB,3000mAh-3999mAh,"枫叶金,珊瑚蓝,幻紫灰,粉红色,星夜黑",800万-1599万,1200万-1999万,https://item.jd.com/1988085015.html
SAMSUNG 三星S8/S8+ S8plus移动联通4G防水智能手机 S8 幻紫灰 美版单卡 64G,3988.00,64GB,1200mAh以下,"S8 枫叶金 港版双卡,S8 幻紫灰 港版双卡,S8 芭比粉 港版双卡,S8+ 星夜黑 港版双卡,s8+ 雾屿蓝 港版双卡,S8+ 芭比粉 港版双卡,S8+ 幻紫灰 港版双卡,S8 星夜黑 美版单卡,S8 水晶银 美版单卡,S8 幻紫灰 美版单卡,S8+ 星夜黑 美版单卡,S8+ 幻紫灰 美版单卡,S8+ 水晶银 美版单卡,s8+ 雾屿蓝 美版单卡",800万-1599万,1200万-1999万,https://item.jd.com/26058097425.html
三星（SAMSUNG） 【现货发售】note 8 双摄镜头 全面曲屏 智能4G手机 旷野灰 6GB+64GB 港版双卡全网通4G,5079.00,64GB,3000mAh-3999mAh,"旷野灰,午夜黑,深海蓝,樱花粉",800万-1599万,N/A,https://item.jd.com/24420729010.html
三星 Galaxy J7109 电信4G手机 流沙金 电信4G ,1588.00,16GB,3000mAh-3999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/1978164561.html
三星（SAMSUNG）W2017,13998.00,64GB,2000mAh-2999mAh,"金色W2017,黑色W2017+",500万-799万,1200万-1999万,https://item.jd.com/1979000552.html
三星（SAMSUNG）SM-G9500,4999.00,64GB,N/A,"绮梦金,雾屿蓝,烟晶灰,谜夜黑",800万-1599万,1200万-1999万,https://item.jd.com/12875799813.html
三星（SAMSUNG）G1600,1451.00,16GB,1200mAh-1999mAh,N/A,500万-799万,500万-1199万,https://item.jd.com/10798174662.html
三星（SAMSUNG） S8/S8+双曲屏 安卓智能手机4GB+64G/6GB+64G 勃艮第红 s8+（港版128G）,5099.00,64GB,3000mAh-3999mAh,"枫叶金,幻紫灰,星夜黑,雾屿蓝,亮银色,瑰蜜粉,勃艮第红",800万-1599万,1200万-1999万,https://item.jd.com/25787644644.html
三星（SAMSUNG） Galaxy Folder(SM-G1600) 翻盖手机 全网通 金色（2GB+16GB）,1428.00,16GB,1200mAh-1999mAh,金色系,500万-799万,500万-1199万,https://item.jd.com/15254171043.html
三星（SAMSUNG） SM-J3300 手机5英寸金属机身前置指纹识别美颜自拍补光 EM 流沙金 （3+32G）全网通4G,1299.00,支持内存卡,2000mAh-2999mAh,"流沙金,雪夜黑,嫣霞粉,凝霜蓝",500万-799万,1200万-1999万,https://item.jd.com/1995325629.html
三星（SAMSUNG）Galaxy A9,2099.00,32GB,4000mAh-5999mAh,"雪域白,魔幻金,女王粉,精灵黑",其他,其他,https://item.jd.com/10433285341.html
全球购三星(SAMSUNG) Galaxy A9 (SM-A9000) 4G手机 双卡双待 雪域白,2599.00,32GB,2000mAh-2999mAh,"女王粉,雪域白,魔幻金",N/A,N/A,https://item.jd.com/1978053678.html
三星（SAMSUNG）Galaxy S8,4999.00,4GB,3000mAh-3999mAh,"金色,雾屿蓝,芭比粉,灰色,黑色",800万-1599万,N/A,https://item.jd.com/12651862076.html
全球购三星(SAMSUNG) S8+全视曲面屏6.2寸手机/港版/韩版/海外版 港版 双卡 全网通 珊瑚蓝 64GB,7999.00,64GB,3000mAh-3999mAh,"港版 双卡 全网通,韩版 单卡 移动联通,海外版 双卡 移动联通",800万-1599万,N/A,https://item.jd.com/1986422490.html
三星(SAMSUNG)旗舰产品 SW-W2017 翻盖商务4G手机 双卡双待 金色 4GB+64GB电信版 标配,16666.00,64GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/1976028936.html
三星（SAMSUNG）Galaxy J3,959.00,32GB,2000mAh-2999mAh,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/25440508943.html
三星（SAMSUNG）S9 S9+,7788.00,64GB,3000mAh-3999mAh,"S9 (G9600) 4G+64G 紫色,S9 (G9600) 4G+64G 黑色,S9+ (G9650) 4G+64G 紫色,S9+ (G9650) 4G+64G 黑色,S9+ (G9650) 6G+128G 紫色,S9+ (G9650) 6G+128G 黑色,S9+ (G9650) 6G+128G 蓝色,S9+ (G9650) 6G+256G 紫色,S9+ (G9650) 6G+256G 黑色",800万-1599万,1200万-1999万,https://item.jd.com/26016154415.html
三星（SAMSUNG） 三星 Galaxy C7 Pro（C7010）全网通4G手机 蓝色 （4G RAM+64G ROM）,2099.00,64GB,3000mAh-3999mAh,"金色,蓝色,粉色",N/A,N/A,https://item.jd.com/14775547702.html
三星（SAMSUNG） S8/S8+双曲屏 安卓智能手机4GB+64G/6GB+64G 枫叶金 s8（亚太版64G）,4299.00,N/A,N/A,"枫叶金,幻紫灰,星夜黑,雾屿蓝,亮银色,瑰蜜粉,勃艮第红",N/A,N/A,https://item.jd.com/22202708202.html
三星（SAMSUNG） GALAXY S8/S8+手机 港版双卡全网通4G智能手机 金色 港版 S8(4G+64G)无联保凭证,4250.00,支持内存卡,3000mAh-3999mAh,"金色 港版,紫灰色 港版,黑色 港版,蓝色 港版,粉色 港版",1600万及以上,500万-1199万,https://item.jd.com/23194714407.html
三星（SAMSUNG） 三星 Galaxy J3 （J330 移动联通电信4G手机 黑色 3GB+32GB,999.00,32GB,N/A,"黑色,金色,蓝色",500万-799万,1200万-1999万,https://item.jd.com/25789985323.html
三星（Samsung） SM-G3502I 老人触屏手机双卡双待智能直板手机 预售 移动白色,499.00,N/A,1200mAh以下,"移动白色,移动黑色",N/A,N/A,https://item.jd.com/1988255507.html
三星（SAMSUNG） Galaxy ON5 （G5520）手机 流沙金 全网通 2GB+16GB,988.00,2GB,2000mAh-2999mAh,"流沙金,嫣霞粉",500万-799万,1200万-1999万,https://item.jd.com/18110591592.html
三星（SAMSUNG） Galaxy J3 Pro（J3119）手机 流沙金 电信 2GB+16GB,788.00,2GB,2000mAh-2999mAh,N/A,500万-799万,500万-1199万,https://item.jd.com/18113809497.html
【eBay精选】三星 Galaxy Note 5 N9200 S6963 金色智能手机,10194.00,32GB,2000mAh-2999mAh,N/A,1600万及以上,N/A,https://item.jd.com/1964269648.html
现货老人机 C9 老人机 移动联通/电信老人手机三防手机学生机 黑色 移动联通,258.00,N/A,N/A,"橙色,黑色",N/A,N/A,https://item.jd.com/20339633251.html
SAMSUNG C7 Pro（C7010）,2089.00,N/A,N/A,"苍海蓝,枫叶金,蔷薇粉",N/A,N/A,https://item.jd.com/23541356494.html
三星（SAMSUNG） 大器3 （SM-G9092）联通3G双卡双待手机 名仕蓝 官方标配 32GB,2999.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/25906249984.html
三星（SAMSUNG）Galaxy C5,1699.00,64GB,2000mAh-2999mAh,金色,800万-1599万,1200万-1999万,https://item.jd.com/1989096280.html
三星（SAMSUNG）S9,5988.00,64GB,3000mAh-3999mAh,"S9 (G9600) 港版 4G+64G 紫色,S9 (G9600) 港版 4G+64G 黑色,S9+ (G9650) 港版 4G+64G 紫色,S9+ (G9650) 港版 4G+64G 黑色,S9+ (G9650) 港版 6G+128G 紫色,S9+ (G9650) 港版 6G+128G 黑色,S9+ (G9650) 港版 6G+256G 紫色,S9+ (G9650) 港版 6G+256G 黑色,S9+ (G9650) 港版 6G+128G 蓝色",800万-1599万,1200万-1999万,https://item.jd.com/26012803514.html
三星（SAMSUNG）Galaxy A9,2399.00,32GB,4000mAh-5999mAh,N/A,800万-1599万,1200万-1999万,https://item.jd.com/25439880669.html
SAMSUNG 三星（）Galaxy S8+ (G9550)  港版 4G智能手机 星夜黑 港版S8+(6GB+128GB),5728.00,64GB,3000mAh-3999mAh,"珊瑚蓝,幻紫灰,星夜黑",800万-1599万,1200万-1999万,https://item.jd.com/1988143482.html
三星 Galaxy C7（SM-C7000）4G全网通智能手机 蔷薇粉 64GB,2478.00,4GB,3000mAh-3999mAh,"烟雨灰,皎洁银,蔷薇粉,枫叶金",N/A,N/A,https://item.jd.com/1978633749.html
三星（SAMSUNG） W2018（SM-W2018）移动联通电信4G手机 双卡双待 至尊雅金 6G+64GB 全网通,23333.00,N/A,N/A,N/A,500万-799万,1200万-1999万,https://item.jd.com/24284885370.html
三星（SAMSUNG） SM- W2016 电信4G 翻盖商务手机 尊贵金,5988.00,N/A,N/A,"尊贵金,尊贵银",N/A,N/A,https://item.jd.com/22623970471.html
三星（SAMSUNG）GALAXY S8/S8+ 智能手机64G 移动联通双曲屏 现货 S8 64G 灰,5988.00,其他,2000mAh-2999mAh,"S8 64G 金,S8 64G 灰,S8 64G 黑,S8+ 64G 金,S8+ 64G 灰,S8+ 64G 黑",其他,N/A,https://item.jd.com/1988874865.html
三星（SAMSUNG） Galaxy A8 A8+（2018 ) 智能手机 新款 兰花灰色 A8,4299.00,N/A,N/A,"兰花灰色,金色,黑色",N/A,N/A,https://item.jd.com/25754821213.html
三星Galaxy Folder SM-G1600 翻盖手机 金色 2GB+16GB 全网通 金色,1799.00,16GB,1200mAh-1999mAh,金色,500万-799万,N/A,https://item.jd.com/1980838689.html
三星 SAMSUNG Galaxy J1 2016  简输手机 联通移动 8GB 港版 金色 3G版 (J120H),1188.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/1997786376.html
三星（SAMSUNG）W2016,6998.00,64GB,2000mAh-2999mAh,"2016尊贵金,2016+尊贵银",500万-799万,1200万-1999万,https://item.jd.com/1975097958.html
【eBay精选】三星Galaxy C7（C7000）全网通4G手机 64GB 烟雨灰,2328.00,64GB,2000mAh-2999mAh,"烟雨灰,枫叶金,蔷薇粉",N/A,N/A,https://item.jd.com/1968632245.html
三星（SAMSUNG） DeX Station 智能手机扩展坞 适用于S8|S8+ 黑色,880.00,8GB以下,6000mAh及以上,N/A,1600万及以上,2000万及以上,https://item.jd.com/18780755584.html
三星（SAMSUNG） 全球购 GALAXY S8 / S8+ 智能手机 s8+ 6.2寸 迷夜黑 128GB 双4G 海外版,5299.00,64GB,3000mAh-3999mAh,"S8 5.8寸 绮梦金,S8 5.8寸 幻紫灰,S8 5.8寸迷夜灰,S8+ 6.2寸  绮梦金,s8+ 6.2寸 迷夜黑",800万-1599万,1200万-1999万,https://item.jd.com/1984202065.html
SAMSUNGC9 Pro（C9000）,2288.00,N/A,N/A,"枫叶金,蔷薇粉,墨玉黑",N/A,N/A,https://item.jd.com/23540182415.html
SAMSUNG C8（SM-C7100）,1539.00,N/A,N/A,"枫叶金,蔷薇粉,墨玉黑",N/A,N/A,https://item.jd.com/23539486509.html
